id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000580,8702.37145768597,owner occupied,North West,16260.9763,5-9 years,NA,132.0469285775744,freehold
20220000582,1249.2627240875686,owner occupied,London,91075,less than 1 year,NA,NA,leasehold
20220000584,4555.4812148118535,owner occupied,South East,61111.9388,two years,NA,461.53846153846155,freehold
20220000589,1970.888024230438,owner occupied,South West,63707.647622,5-9 years,NA,NA,freehold
20220000590,1156.5019412631636,housing association,South East,15754,3-4 years,92.53846153846152,NA,NA
20220000601,330.96158519010316,owner occupied,North East,70200,two years,NA,184.6153846153846,freehold
20220000608,1564.4971753252876,owner occupied,North West,62328.03,5-9 years,NA,253.84615384615384,freehold
20220000612,1773.1260767558822,owner occupied,South East,20075,10-19 years,NA,NA,freehold
20220000617,4338.247037228006,owner occupied,Yorkshire and the Humber,22120,30+ years,NA,NA,freehold
20220000621,4110.589774762233,local authority,London,10642,30+ years,159,NA,NA
20220000624,4367.112989509877,owner occupied,South East,29392.5,10-19 years,NA,891.8933288631465,freehold
20220000629,1058.7936555321355,local authority,East Midlands,18917.5,10-19 years,70,NA,NA
20220000630,2081.3846645163635,owner occupied,South East,99000,10-19 years,NA,150,freehold
20220000631,5733.080580806083,private rented,London,32958.7962,one year,300,NA,NA
20220000633,2580.9318193890485,owner occupied,North West,48922.5,20-29 years,NA,NA,freehold
20220000638,920.334103205154,private rented,South East,10133,less than 1 year,0.01923076923076923,NA,NA
20220000639,823.0009498284783,housing association,South West,9209,10-19 years,82,NA,NA
20220000642,925.0275287332375,private rented,East Midlands,32632.76,5-9 years,98.07692307692308,NA,NA
20220000645,3792.045863846904,owner occupied,North West,75918.75,20-29 years,NA,300,freehold
20220000646,404.7756673313133,owner occupied,South West,42902.1168,less than 1 year,182.19257749999997,0.02307692307692308,freehold
20220000647,591.064326651739,owner occupied,West Midlands,46395,3-4 years,NA,NA,freehold
20220000651,1007.6302354135212,housing association,South East,3898.08,one year,106.15384615384616,NA,NA
20220000652,1723.089589765589,owner occupied,South East,30085,less than 1 year,NA,NA,freehold
20220000653,2479.50442363174,owner occupied,South West,47476,30+ years,NA,NA,freehold
20220000655,4082.968255029579,owner occupied,London,64691,30+ years,NA,NA,freehold
