id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220001544,49706.25,one year,161.53846153846155,103.84615384615384,leasehold
20220001545,27675,one year,NA,84.23076923076923,freehold
20220001546,22030,10-19 years,NA,NA,freehold
20220001549,16893,5-9 years,124,NA,NA
20220001553,72875,10-19 years,NA,150,freehold
20220001554,24700,20-29 years,101.53846153846153,NA,NA
20220001558,13000,10-19 years,115.38461538461539,NA,NA
20220001559,33757.3,5-9 years,NA,156.92307692307693,freehold
20220001562,9501,one year,NA,NA,leasehold
20220001566,16275,10-19 years,NA,NA,freehold
20220001568,22175,two years,103.84615384615384,NA,NA
20220001576,11047.5,30+ years,NA,NA,freehold
20220001579,58318.55,5-9 years,109,NA,NA
20220001580,29105,3-4 years,NA,NA,freehold
20220001585,9209,30+ years,NA,NA,freehold
20220001589,19721.079999999998,two years,173.07692307692307,0.02307692307692308,leasehold
20220001591,51795,20-29 years,NA,NA,freehold
20220001593,64885.619999999995,one year,NA,113.96560633058883,freehold
20220001594,18848,20-29 years,NA,NA,freehold
20220001595,85500,two years,NA,196.15384615384616,freehold
20220001596,60250.880000000005,20-29 years,115,NA,NA
20220001597,77780,20-29 years,90.10650887573965,NA,NA
20220001598,32521.25,10-19 years,NA,NA,freehold
20220001599,36678.3,5-9 years,NA,145.0898591639246,freehold
20220001602,83437.5,3-4 years,NA,2159.7364479381827,freehold
20220001605,16357.16,10-19 years,92.3076923076923,NA,NA
20220001607,9777.5,30+ years,NA,NA,freehold
20220001615,27091,20-29 years,85,NA,NA
20220001619,12102.5,less than 1 year,NA,NA,freehold
20220001622,36470.8,3-4 years,NA,103.84615384615384,freehold
20220001627,19367.785556000003,30+ years,NA,NA,freehold
20220001629,29662.8,3-4 years,NA,83.75,freehold
20220001631,3898.08,one year,96.92307692307692,NA,NA
20220001633,9501,less than 1 year,122.71134685152121,NA,NA
20220001639,37295,two years,NA,NA,freehold
20220001644,66603.3272,3-4 years,NA,219.23076923076923,freehold
20220001651,14875,5-9 years,NA,NA,freehold
20220001657,9209,3-4 years,124.47022520827875,NA,NA
20220001660,12950,less than 1 year,219.23076923076923,NA,NA
20220001661,100000,5-9 years,NA,126.92307692307692,freehold
20220001662,50852.8,10-19 years,NA,75.46153846153847,freehold
20220001668,57575,one year,NA,192.69230769230768,freehold
20220001677,52325,less than 1 year,NA,NA,freehold
20220001678,32315,two years,115.38461538461539,NA,NA
20220001679,25897.5,one year,NA,NA,freehold
20220001684,24200.8,one year,166.5,NA,NA
20220001687,90795,20-29 years,NA,124.61538461538461,freehold
20220001698,31443.75,20-29 years,NA,154.6153846153846,freehold
20220001699,15562.5,20-29 years,NA,NA,freehold
20220001702,16120,3-4 years,144.23076923076923,NA,NA
20220001708,35373,30+ years,NA,NA,freehold
20220001713,78110.5236,10-19 years,NA,288.46153846153845,freehold
20220001716,25692.5,5-9 years,NA,NA,freehold
